District,Site,Site_EQRiskLevel,BuildingArea_HasRetrofit
Highline,Tyee Campus,Very High,No
Highline,Valley View Early Learning Center,Very High,No
Highline,White Center Heights Elementary School,Low,No
Highline,Woodside Site,Very High,No
Hockinson,Hockinson Heights Elementary School (East),Moderate,No
Hockinson,Hockinson High School,,No
Hockinson,Hockinson Middle School (new),Low,No
Hood Canal,Hood Canal Elementary and Junior High School,,No
Hoquiam,Central Elementary School,,No
Hoquiam,Emerson Elementary School,,No
Hoquiam,Hoquiam High School,Very High,No
Hoquiam,Hoquiam Middle School,,No
Hoquiam,Lincoln Elementary School,Very High,No
Hoquiam,Washington Elementary School,,No
Inchelium,Inchelium K-12 School,,No
Inchelium,Inchelium Middle School,,No
Index,Index Elementary School,,No
Issaquah,Apollo Elementary School,,No
Issaquah,Beaver Lake Middle School,,No
Issaquah,Briarwood Elementary School,,No
Issaquah,Cascade Ridge Elementary School,,No
Issaquah,Cedar Trails Elementary ,,No
Issaquah,Challenger Elementary School,,No
Issaquah,Clark Elementary (New),,No
Issaquah,Cougar Mountain Middle ,,No
Issaquah,Cougar Ridge Elementary School,,No
Issaquah,Creekside Elementary School,,No
Issaquah,Discovery Elementary School,,No
Issaquah,Endeavour Elementary School,,No
Issaquah,Gibson Ek High School,,No
Issaquah,Grand Ridge Elementary School,,No
Issaquah,Issaquah High School,,No
Issaquah,Issaquah Middle School (New),,No
Issaquah,Issaquah Valley Elementary School,,No
Issaquah,Liberty High School,,No
Issaquah,Maple Hills Elementary School,,No
Issaquah,Maywood Middle School,,No
Issaquah,Newcastle Elementary School,,No
Issaquah,Pacific Cascade Middle School,,No
Issaquah,Pine Lake MS,,No
Issaquah,Skyline High School,,No
Issaquah,Sunny HIlls ES,,No
Issaquah,Sunset Elementary School,,No
Kahlotus,Kahlotus Elementary and High School,,No
Kalama,Kalama Elementary School,,No
Kalama,Kalama Junior Senior High School,,No
Keller,Keller Elementary School,,No
Kelso,Barnes Elementary School,,No
Kelso,Beacon Hill Elementary School,,No
Kelso,Butler Acres Elementary School,,No
Kelso,Carrolls Elementary School,,No
Kelso,Catlin Elementary School,,No
Kelso,Coweeman Middle School,,No
Kelso,Huntington Middle School,,No
Kelso,Kelso High School,,No
Kelso,Rose Valley Elementary School,,No
Kennewick,Amistad Elementary School,,No
Kennewick,Amon Creek Elementary,,No
Kennewick,Canyon View Elementary School,,No
Kennewick,Cascade Elementary School,,No
Kennewick,Chinook Middle School,,No
Kennewick,Cottonwood Elementary School,,No
Kennewick,Desert Hills Middle School,,No
Kennewick,Eastgate Elementary School,,No
Kennewick,Edison Elementary School,,No
Kennewick,Fuerza Elementary School,,No
Kennewick,Hawthorne Elementary School,,No
Kennewick,Highlands Middle School,,No
Kennewick,Horse Heaven Hills Middle School,,No
Kennewick,Kamiakin High School,,No
Kennewick,Kennewick High School,,No
Kennewick,Legacy High School,,No
Kennewick,Lincoln Elementary School,,No
Kennewick,Mid-Columbia Partnership,,No
Kennewick,Park Middle School,,No
Kennewick,Phoenix High School,,No
Kennewick,Ridge View Elementary School,,No
Kennewick,Sage Crest Elementary School,,No
Kennewick,Southgate Elementary School,,No
Kennewick,Southridge High School,,No
Kennewick,Sunset View Elementary School,,No
Kennewick,Tri-Tech Skills Center,,No
Kennewick,Vista Elementary School,,No
Kennewick,Washington Elementary School,,No
Kennewick,Westgate Elementary School,,No
Kent,Canyon Ridge Middle School,Very High,No
Kent,Carriage Crest Elementary School,Very High,No
Kent,Cedar Heights Middle School,,No
Kent,Cedar Valley Elementary School,,No
Kent,Covington Elementary School ,Low,No
Kent,Crestwood Elementary School,Moderate,No
Kent,East Hill Elementary School,Very High,No
Kent,Emerald Park Elementary School,Moderate,No
Kent,Fairwood Elementary School,Very High,No
Kent,George T. Daniel Elementary School,Low,No
Kent,Glenridge Elementary School,Moderate,No
Kent,Grass Lake Elementary School,Very High,No
Kent,Horizon Elementary School,High,No
Kent,Jenkins Creek Elementary School,,No
Kent,Kent Elementary School,,No
Kent,Kent Laboratory Academy,,No
Kent,Kent-Meridian High School,Very High,No
Kent,Kentlake High School,Low,No
Kent,Kentridge High School,Very High,No
Kent,Kentwood High School,,No
Kent,Lake Youngs Elementary School,Very High,No
Kent,Martin Sortun Elementary School,High,No
Kent,Mattson Middle School,Moderate,No
Kent,Meadow Ridge Elementary School,,No
Kent,Meeker Middle School,Very High,No
Kent,Meridian Elementary School,Very High,No
Kent,Meridian Middle School,Very High,No
Kent,Mill Creek Middle School,Very High,No
Kent,Millennium Elementary School,Low,No
Kent,Neely-O'Brien Elementary School,Moderate,No
Kent,Northwood Middle School,Moderate,No
Kent,Panther Lake Elementary School,Low,No
Kent,Park Orchard Elementary School,Very High,No
Kent,Pine Tree Elementary School,Very High,No
Kent,Ridgewood Elementary School,Moderate,No
Kent,River Ridge Elementary ,,No
Kent,Sawyer Woods Elementary School,Low,No
Kent,Scenic Hill Elementary School,Very High,No
Kent,Soos Creek Elementary School,Very High,No
Kent,Springbrook Elementary School,Very High,No
Kent,Sunrise Elementary School,Low,No
Kettle Falls,Kettle Falls Elementary School,,No
Kettle Falls,Kettle Falls High School,,No
Kettle Falls,Kettle Falls Middle School,,No
Kiona-Benton City,Kiona-Benton City High School,,No
Kiona-Benton City,Kiona-Benton City PK-8,,No
Kittitas,Kittitas Elementary School,,No
Kittitas,Kittitas High School,,No
Klickitat,Klickitat Elementary and High School,,No
La Center,La Center Elementary & Middle Schools,,No
La Center,La Center High School,,No
La Conner,La Conner Elementary School (form. MS),,No
La Conner,La Conner High School,Very High,No
La Conner,La Conner Middle School (form. Elem site.),Very High,No
LaCrosse,Lacrosse K-12,,No
Lake Chelan,Chelan High School,,No
Lake Chelan,Morgen Owings Elementary School,,No
Lake Chelan,Preschool and 5th Grade,,No
Lake Quinault,Lake Quinault K-12 School,,No
Lake Stevens,Cavelero Mid High School,Low,No
Lake Stevens,Glenwood Elementary School,,No
Lake Stevens,Highland Elementary School,,No
Lake Stevens,Hillcrest Elementary School,,No
Lake Stevens,Lake Stevens Middle School,Very High,No
Lake Stevens,Lake Stevens Senior High School,,No
Lake Stevens,Mt. Pilchuck Elementary School,Very High,No
Lake Stevens,North Lake Middle School,Very High,No
Lake Stevens,Skyline Elementary School,,No
Lake Stevens,Stevens Creek ES  & Early Learning Center,,No
Lake Stevens,Sunnycrest Elementary School,Very High,No
Lake Washington,Alcott Elementary School,,No
Lake Washington,Audubon Elementary School,,No
Lake Washington,Baker Elementary School,,No
Lake Washington,Barton Elementary School,,No
Lake Washington,Bell Elementary School,,No
Lake Washington,Blackwell Elementary School,,No
Lake Washington,Carson Elementary School,,No
Lake Washington,Dickinson Elementary School,,No
Lake Washington,Eastlake High School,,No
Lake Washington,Einstein Elementary School,Low,No
Lake Washington,Emerson Campus,,No
Lake Washington,Evergreen Middle School,,No
Lake Washington,Finn Hill Middle School,,No
Lake Washington,Franklin Elementary School,,No
Lake Washington,Frost Elementary School,,No
Lake Washington,Inglewood Middle School,,No
Lake Washington,International Community School,,No
Lake Washington,Juanita Elementary School,,No
Lake Washington,Juanita High School,,No
Lake Washington,Kamiakin Middle School,,No
Lake Washington,Keller Elementary School,,No
Lake Washington,Kirk Elementary School,,No
Lake Washington,Kirkland Middle School,,No
Lake Washington,Lake Washington High School,,No
Lake Washington,Lakeview Elementary School,,No
Lake Washington,Mann Elementary School,,No
Lake Washington,McAuliffe Elementary School,,No
Lake Washington,Mead Elementary School,,No
Lake Washington,Muir Elementary School,,No
Lake Washington,Parks Elementary School,,No
Lake Washington,Redmond Elementary School,,No
Lake Washington,Redmond High School,,No
Lake Washington,Redmond Middle School,,No
Lake Washington,Rockwell Elementary School,,No
Lake Washington,Rose Hill Elementary School,,No
Lake Washington,Rose Hill Middle School,,No
Lake Washington,Rush Elementary School,,No
Lake Washington,Sandburg Elementary School,,No
Lake Washington,Smith Elementary School,,No
Lake Washington,Tesla STEM High School,,No
Lake Washington,Thoreau Elementary School,,No
Lake Washington,Timberline Middle School,,No
Lake Washington,Twain Elementary School,,No
Lake Washington,Wilder Elementary School,,No
Lakewood,Cougar Creek Elementary School,Low,No
Lakewood,English Crossing Elementary School,Low,No
Lakewood,Lakewood Elementary School,Very High,No
Lakewood,Lakewood High School,Low,No
Lakewood,Lakewood Middle School,Very High,No
Lamont,Lamont Middle School,,No
Liberty,Liberty High School,,No
Liberty,Liberty Junior High and Elementary School,,No
Lind,Lind Elementary School,,No
Lind,Lind Middle School,,No
Longview,Broadway Learning Center,Moderate,No
Longview,Cascade Middle School,Very High,No
Longview,Columbia Heights Elementary School,Very High,No
Longview,Columbia Valley Gardens Elementary School,Low,No
Longview,Discovery High School,High,No
Longview,Kessler Elementary School,High,No
Longview,Mark Morris High School,High,No
Longview,Mint Valley Elementary School,High,No
Longview,Monticello Middle School,Very High,No
Longview,Mt. Solo Middle School,Low,No
Longview,Northlake Elementary School,High,No
Longview,Olympic Elementary School,Very High,No
Longview,R. A. Long High School,Very High,No
Longview,Robert Gray Elementary School,Low,No
Longview,Saint Helens Elementary School,Low,No
Loon Lake,Loon Lake Elementary School,,No
Lopez Island,Decatur School,,No
Lopez Island,Lopez Elementary School,,No
Lopez Island,Lopez Middle High School,,No
Lummi,Lummi Nation School K-12,,No
Lyle,Dallesport Elementary School,,No
Lyle,Lyle High School,,No
Lynden,Fisher Elementary School ,,No
Lynden,Isom Elementary School,,No
Lynden,Lynden High School,,No
Lynden,Lynden Middle School ,,No
Lynden,Vossbeck Elementary School,,No
Mabton,Artz Fox Elementary School,,No
Mabton,Mabton Jr/Sr High School,Moderate,No
Mansfield,Mansfield Elem and High School,,No
Manson,Manson Elementary School,,No
Manson,Manson Junior Senior High School,,No
Mary M Knight,Mary M. Knight School,Very High,No
Mary Walker,Mary Walker High School,,No
Mary Walker,Springdale Elementary/Middle School,,No
Marysville,Allen Creek Elementary School,,No
Marysville,Cascade Elementary School,Very High,No
Marysville,Cedarcrest School,,No
Marysville,Grove Elementary School,,No
Marysville,Kellogg Marsh Elementary School,,No
Marysville,Liberty Elementary School,High,No
Marysville,Marshall Elementary School,,No
Marysville,Marysville ECEAP School (Formerly Msville Mtn View),,No
Marysville,Marysville Middle School,Very High,No
Marysville,Marysville Pilchuck Senior High School,Very High,No
Marysville,Marysville-Getchell High School Campus,,No
Marysville,Marysville-Tulalip Campus,,No
Marysville,Pinewood Elementary School,Very High,No
Marysville,Quil Ceda Tulalip Elementary School,,No
Marysville,Shoultes Elementary School,Very High,No
Marysville,Sunnyside Elementary School,,No
Marysville,Totem Middle School,Very High,No
McCleary,McCleary Elementary School,,No
Mead,Brentwood Elementary School,,No
Mead,Colbert Elementary School,,No
Mead,Evergreen Elementary School,,No
Mead,Farwell Elementary School,,No
Mead,M.E.A.D. Alternative High School,,No
Mead,Mead Education Partnership (Five Mile Prairie),,No
Mead,Mead Senior High School,,No
Mead,Meadow Ridge Elementary School,,No
Mead,Midway Elementary School,,No
Mead,Mountainside Middle School,,No
Mead,Mt Spokane High School,,No
Mead,Northwood Middle School,,No
Mead,Prairie View Elementary School,,No
Mead,Shiloh Hills Elementary School,,No
Medical Lake,Hallett Elementary School,,No
Medical Lake,Medical Lake High School,,No
Medical Lake,Medical Lake Middle School,,No
Medical Lake,Michael Anderson Elementary School,,No
Mercer Island,Island Park Elementary School,Moderate,Yes
Mercer Island,Island Park Elementary School,Moderate,No
Mercer Island,Islander Middle School,,Yes
Mercer Island,Islander Middle School,,No
Mercer Island,Lakeridge Elementary School,Low,Yes
Mercer Island,Mercer Island High School,,Yes
Mercer Island,Mercer Island High School,,No
Mercer Island,Northwood Elementary,,No
Mercer Island,West Mercer Elementary School,Low,Yes
Meridian,Irene Reither Elementary School,Low,No
Meridian,Meridian High School,,No
Meridian,Meridian Middle School,Very High,No
Methow Valley,Liberty Bell Junior Senior High School,,No
Methow Valley,Methow Valley Elementary School,Moderate,No
Mill A,Mill A Elementary School,,No
Monroe,Chain Lake Elementary School,,No
Monroe,Frank Wagner Elementary School,,No
Monroe,Fryelands Elementary School,,No
Monroe,Hidden River Middle School,,No
Monroe,Maltby Elementary School,,No
Monroe,Monroe High School,,No
Monroe,Park Place Middle School (new),,No
Monroe,Salem Woods Elementary School,,No
Monroe,Sky Valley Education Center1 (Old MMS),,No
Monroe,Wagner Center (Leaders In Learning),,No
Montesano,Beacon Avenue Elementary School,,No
Montesano,Montesano Junior Senior High School,,No
Montesano,Simpson Avenue Elementary School,,No
Morton,Morton Elementary School,Very High,No
Morton,Morton Junior Senior High School,,No
Moses Lake,Chief Moses Middle School,Low,No
Moses Lake,Endeavor Middle School,Low,No
Moses Lake,Frontier Middle School,,No
Moses Lake,Garden Heights Elementary School,Low,No
Moses Lake,Knolls Vista Elementary School,Low,No
Moses Lake,Lakeview Terrace Elementary School,Low,No
Moses Lake,Larson Heights Elementary School,Low,No
Moses Lake,Longview Elementary School,Low,No
Moses Lake,Midway Elementary School,Low,No
Moses Lake,Moses Lake High School,Low,No
Moses Lake,North Elementary School,Low,No
Moses Lake,Park Orchard Elementary School,Low,No
Moses Lake,Peninsula Elementary School,Low,No
Moses Lake,Sage Point Elementary School,Low,No
Moses Lake,Vanguard Academy,,No
Moses Lake,Vicki Groff Elementary ,,No
Mossyrock,Mossyrock K-12 School,,No
Mount Adams,Harrah Elementary School,,No
Mount Adams,Mount Adams Middle School,,No
Mount Adams,White Swan High School,,No
Mount Baker,Acme Elementary School,,No
Mount Baker,Harmony Elementary School,,No
Mount Baker,Kendall Elementary School,,No
Mount Baker,Mount Baker Junior High School,Low,No
Mount Baker,Mount Baker Senior High School,,No
Mount Pleasant,Mount Pleasant Elementary School,,No
Mount Vernon,Centennial Elementary School,,No
Mount Vernon,Harriet Rowley Elementary School,,No
Mount Vernon,Jefferson Elementary School,,No
Mount Vernon,La Venture Middle School,,No
Mount Vernon,Little Mountain Elementary School,,No
Mount Vernon,Madison Elementary ,,No
Mount Vernon,Mount Baker Middle School,,No
Mount Vernon,Mount Vernon High School,,No
Mount Vernon,Washington Elementary School,,No
Mukilteo,ACES High School,,No
Mukilteo,Challenger Elementary School,,No
Mukilteo,Columbia Elementary School,,No
Mukilteo,Discovery Elementary School,,No
Mukilteo,Endeavour Elementary School,,No
Mukilteo,Explorer Middle School,,No
Mukilteo,Fairmount Elementary School,,No
Mukilteo,Harbour Pointe Middle School,,No
Mukilteo,Horizon Elementary School,,No
Mukilteo,Kamiak High School,,No
Mukilteo,Lake Stickney Elementary School ,,No
Mukilteo,Mariner High School,,No
Mukilteo,Mukilteo Elementary School,,No
Mukilteo,Odyssey Elementary School,,No
Mukilteo,Olivia Park Elementary School,,No
Mukilteo,Olympic View Middle School,,No
Mukilteo,Pathfinder Kindergarten Center,,No
Mukilteo,Picnic Point Elementary School,,No
Mukilteo,Serene Lake Elementary School,,No
Mukilteo,Voyager Middle School,,No
Naches Valley,Naches Elementary School,,No
Naches Valley,Naches Valley High School,,No
Naches Valley,Naches Valley Intermediate School,,No
Naches Valley,Naches Valley Middle School,,No
Napavine,Napavine Elementary School,,No
Napavine,Napavine Junior Senior High School,,No
Naselle-Grays River Valley,Naselle K-12 School,,No
Nespelem,Nespelem Elementary School,,No
Newport,Newport High School,,No
Newport,Sadie Halstead Middle School,,No
Newport,Stratton Elementary School,,No
Nine Mile Falls,Lake Spokane Elementary School,,No
Nine Mile Falls,Lakeside High School,,No
Nine Mile Falls,Lakeside Middle School,,No
Nine Mile Falls,Nine Mile Falls Elementary School,,No
Nooksack Valley,Everson Elementary School,,No
Nooksack Valley,Nooksack Elementary School,,No
Nooksack Valley,Nooksack Valley High School,,No
Nooksack Valley,Nooksack Valley Middle School,,No
Nooksack Valley,Sumas Elementary School (Old),,No
North Beach,North Beach Junior/Senior High School,Very High,No
North Beach,Ocean Shores Elementary School,,No
North Beach,Pacific Beach Elementary School,Very High,No
North Franklin,Basin City Elementary School,,No
North Franklin,Connell High School,,No
North Franklin,Mesa Elementary School,,No
North Franklin,New - Connell Elementary,,No
North Franklin,Palouse Junction High School,,No
North Franklin,Robert L. Olds Junior High School,,No
North Kitsap,Breidablik Elementary School,,No
North Kitsap,Choice Academy,,No
North Kitsap,David Wolfle Elementary School,,No
North Kitsap,Hilder Pearson Elementary School,,No
North Kitsap,Kingston High School,,No
North Kitsap,Kingston Middle School,,No
North Kitsap,North Kitsap High School,,No
North Kitsap,Poulsbo Elementary School,,No
North Kitsap,Poulsbo Middle School,,No
North Kitsap,Richard Gordon Elementary School,,No
North Kitsap,Suquamish Elementary School,,No
North Kitsap,Vinland Elementary School,,No
North Mason,Belfair Elementary School,Very High,No
North Mason,Hawkins Middle School,Very High,No
North Mason,James A Taylor High School,,No
North Mason,Mary Theler Learning Center,,No
North Mason,New Hawkins Middle ,,No
North Mason,New North Mason High School,Very High,No
North Mason,Other District Facilities,,No
North Mason,Sand Hill Elementary School,,No
North River,North River School,,No
North Thurston,Aspire Middle School,,No
North Thurston,Chambers Prairie Elementary School,Low,No
North Thurston,Chinook Middle School,Very High,No
North Thurston,Chinook Middle School,Very High,Yes
North Thurston,Evergreen Forest Elementary School,,No
North Thurston,Horizons Elementary School,Moderate,No
North Thurston,Komachin Middle School,High,No
North Thurston,Lacey Elementary School,Low,No
North Thurston,Lacey Elementary School,Low,Yes
North Thurston,Lakes Elementary School,Very High,Yes
North Thurston,Lakes Elementary School,Very High,No
North Thurston,Lydia Hawk Elementary School,Moderate,No
North Thurston,Lydia Hawk Elementary School,Moderate,Yes
North Thurston,Meadows Elementary School,Very High,No
North Thurston,Mountain View Elementary School,Very High,No
North Thurston,Mountain View Elementary School,Very High,Yes
North Thurston,Nisqually Middle School,,No
North Thurston,Nisqually Middle School,,Yes
North Thurston,North Thurston High School,Very High,No
North Thurston,North Thurston High School,Very High,Yes
North Thurston,Olympic View Elementary,Low,Yes
North Thurston,Pleasant Glade Elementary,,No
North Thurston,River Ridge High School,,No
North Thurston,Salish Middle School,,No
North Thurston,Seven Oaks Elementary School,Moderate,No
North Thurston,South Bay Elementary School,High,No
North Thurston,South Bay Elementary School,High,Yes
North Thurston,South Sound High School,,No
North Thurston,Timberline High School,,No
North Thurston,Timberline High School,,Yes
North Thurston,Woodland Elementary,Moderate,Yes
Northport,Northport K-12,,No
Northshore,Arrowhead Elementary School,,No
Northshore,Bear Creek Elementary School,,No
Northshore,Bothell High School,,No
Northshore,Canyon Creek Elementary School,,No
Northshore,Canyon Park Junior High School,,No
Northshore,Cottage Lake Elementary School,,No
Northshore,Crystal Springs Elementary School,Very High,No
Northshore,East Ridge Elementary School,,No
Northshore,Fernwood Elementary School,,No
Northshore,Frank Love Elementary School,,No
Northshore,Hollywood Hill Elementary School,,No
Northshore,Inglemoor High School,,No
Northshore,Kenmore Elementary School,,No
Northshore,Kenmore Junior High School,,No
Northshore,Kokanee Elementary School,,No
Northshore,Leota Junior High School,,No
Northshore,Lockwood Elementary School,,No
Northshore,Maywood Hills Elementary School,,No
Northshore,Moorlands Elementary School,,No
Northshore,North Creek HS (New HS),,No
Northshore,Northshore Junior High School,,No
Northshore,Secondary Academy for Success (new),,No
Northshore,Shelton View Elementary School,Very High,No
Northshore,Skyview Junior High School,,No
Northshore,Sorenson Early Childhood Center,,No
Northshore,Sunrise Elementary School,,No
Northshore,Timbercrest Junior High School,,No
Northshore,Wellington Elementary School,,No
Northshore,Westhill Elementary School,,No
Northshore,Woodin Elementary School,,No
Northshore,Woodinville High School,,No
Northshore,Woodmoor Elementary School,,No
Oak Harbor,Broad View Elementary School,,No
Oak Harbor,Clover Valley Home Connection,Very High,No
Oak Harbor,Crescent Harbor Elementary,,No
Oak Harbor,Hillcrest Elementary School,,No
Oak Harbor,North Whidbey Middle School,Low,No
Oak Harbor,Oak Harbor Elementary School,,No
Oak Harbor,Oak Harbor Elementary School,,Yes
Oak Harbor,Oak Harbor High School,,No
Oak Harbor,Oak Harbor Intermediate School,Very High,No
Oak Harbor,Olympic View Elementary,,No
Oakesdale,Oakesdale Elementary School,,No
Oakesdale,Oakesdale High School,,No
Oakville,Oakville School,,No
Ocean Beach,Ilwaco (Hilltop) Middle School,Very High,No
Ocean Beach,Ilwaco High School,Very High,No
Ocean Beach,Kaino Gym,High,No
Ocean Beach,Long Beach Elementary School,,No
Ocean Beach,Ocean Park Elementary School,,No
Ocosta,Ocosta Elementary School,Very High,No
Ocosta,Ocosta Junior Senior High School,Very High,No
Odessa,Odessa High School,,No
Odessa,P C Jantz Elementary School,,No
Okanogan,Grainger Elementary School,,No
Okanogan,Okanogan Junior / Senior High School,,No
Olympia,Avanti High School,,No
Olympia,Boston Harbor Elementary School,,No
Olympia,Capital High School,,No
Olympia,Centennial Elementary School,,No
Olympia,Garfield Elementary School,,No
Olympia,Jefferson Middle School,,No
Olympia,Julia Butler Hansen Elementary School,,No
Olympia,Leland P Brown Elementary School,,No
Olympia,Lincoln Elementary School,,No
Olympia,Madison Elementary School,,No
Olympia,McKenny Elementary School,,No
Olympia,McLane Elementary School,,No
Olympia,Olympia High School,,No
Olympia,ORLA (Olympia Regional Learning Academy),,No
Olympia,Pioneer Elementary School,,No
Olympia,Reeves Middle School,,No
Olympia,Roosevelt Elementary School,,No
Olympia,Thurgood Marshall Middle School,Moderate,No
Olympia,Washington Middle School,,No
Omak,E Omak Elementary School,,No
Omak,Highlands,,No
Omak,N Omak Elementary School,,No
Omak,Omak High School,,No
Omak,Omak Middle School,,No
Onalaska,Onalaska High School,,No
Onalaska,Onalaska K-8 School,,No
Onion Creek,Onion Creek Elementary School,,No
Orcas Island,Orcas Island K-12,,No
Orcas Island,Waldron Island School,Moderate,Yes
Orchard Prairie,Orchard Prairie Elementary School,,No
Orient,Orient Elementary School,,No
Orondo,Orondo Elementary and Middle School,,No
Oroville,Oroville Elementary School,Moderate,No
Oroville,Oroville Middle High School,,No
Orting,Orting High School,,No
Orting,Orting Middle School,,No
Orting,Orting Primary School,,No
Orting,Ptarmigan Ridge Intermediate School,,No
