District,Site,Building_YearBuilt,BuildingArea_Name,BuildingArea_YearBuilt,BuildingArea_CodeYear,BuildingArea_ConstructionType,BuildingArea_HasRetrofit
Franklin Pierce,Morris E. Ford Middle School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Chinook Middle School,1958,Main Area,1956,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Hilltop Elementary School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Woodside Site,1958,Main Area,1958,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Woodside Site,1958,Main Area,1966,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Lakewood,Lakewood Elementary School,1958,1958 Orig,1958,<1973,Unreinforced Masonry Bearing Walls,No
Mercer Island,Islander Middle School,1958,Main Area,1958,<1973,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Mercer Island,Islander Middle School,1958,Main Area,1994,Unknown,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Port Angeles,Port Angeles High School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Port Angeles,Port Angeles High School,1958,Main Area,1978,Unknown,Unreinforced Masonry Bearing Walls,No
White Salmon Valley,Stevenson Intermediate School,1958,Main Area,1956,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Robertson Elementary School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Robertson Elementary School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Robertson Elementary School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Robertson Elementary School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Robertson Elementary School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Robertson Elementary School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Robertson Elementary School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Robertson Elementary School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Robertson Elementary School,1958,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,Bowdish Middle School,1959,Main Area,1959,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Cascade Middle School,1959,Main Area,1959,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Pacific Middle School,1959,Bldg A Main Area ,1959,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Pacific Middle School,1959,Bldg D Manual Arts,1959,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Nob Hill Elementary School,1959,Area B,1951,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,South Pines Elementary School,1960,Area 1,1960,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Manhattan Learning Center (Big Picture),1960,Main Area,1962,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Manhattan Learning Center (Big Picture),1960,Main Area,1960,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Woodside Site,1960,Main Area,1960,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Woodside Site,1960,Main Area,1966,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Lake Stevens,North Lake Middle School,1960,Main Area,1960,<1973,Unreinforced Masonry Bearing Walls,No
Port Angeles,Stevens Middle School,1960,Main Area,1960,<1973,Unreinforced Masonry Bearing Walls,No
Reardan-Edwall,Reardan Middle Senior High School,1960,Main Area,1960,<1973,Unreinforced Masonry Bearing Walls,No
Seattle,Seattle World School,1960,Unit C - Gym Building,1960,<1973,Concrete Frame Buildings with URM Infill Walls,Yes
Yakima,Whitney Elementary School,1960,Main Area,1960,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Whitney Elementary School,1960,Main Area,1960,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Whitney Elementary School,1960,Main Area,1960,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Perry G Keithley Middle School,1961,Main Area,1961,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Perry G Keithley Middle School,1961,Main Area,1961,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Perry G Keithley Middle School,1961,"6, 7, 7A",1961,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Perry G Keithley Middle School,1961,Main Area,1961,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Perry G Keithley Middle School,1961,Main Area,1961,<1973,Unreinforced Masonry Bearing Walls,No
Lakewood,Lakewood Elementary School,1961,Main Area,1961,<1973,Unreinforced Masonry Bearing Walls,No
Ridgefield,South Ridge Elementary School,1961,Main Area,1961,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Seattle,Graham Hill Elementary School,1961,Unit A - Main Building,1961,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Wilson Middle School,1961,Main Area,1961,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Wilson Middle School,1961,Main Area,1961,<1973,Unreinforced Masonry Bearing Walls,No
Federal Way,Olympic View Elementary School (OLD),1962,Add'l Space,1968,<1973,Unreinforced Masonry Bearing Walls,No
Federal Way,Olympic View Elementary School (OLD),1962,Main Building,1962,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Historic Collins (Future GATES High School),1962,Main Area,1962,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Evergreen High School Campus,1962,Main Area,1962,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Manhattan Learning Center (Big Picture),1962,Main Area,1962,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Tyee Campus,1962,Main Area,1962,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Tyee Campus,1962,Main Area,1962,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Tyee Campus,1962,Main Area,1962,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Tyee Campus,1962,Main Area,1962,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Tyee Campus,1962,Main Area,1962,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Richland,Richland High School,1962,1973 Addition,1973,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Richland,Richland High School,1962,Main Bldg 1st Floor,1962,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Richland,Richland High School,1962,Tech Wing,1943,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Richland,Richland High School,1962,#2-6 & #1-5,1962,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Warden,Middle / High School,1962,Main Area,1900,<1973,Concrete Frame Buildings with URM Infill Walls,No
Wenatchee,Orchard Middle School,1962,Main Area,1962,<1973,Concrete Frame Buildings with URM Infill Walls,Yes
Central Valley,Summit School,1963,Main Building,1963,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Beverly Park @ Glendale Elementary School,1963,Main Area,1963,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Beverly Park @ Glendale Elementary School,1963,Main Area,1963,<1973,Unreinforced Masonry Bearing Walls,No
Federal Way,Adelaide Elementary School,1964,1967 Addition,1967,<1973,Unreinforced Masonry Bearing Walls,No
Federal Way,Adelaide Elementary School,1964,Main Building,1964,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Elmhurst Elementary School,1964,Main Area - 3,1964,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Evergreen High School Campus,1964,Main Area,1964,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Evergreen High School Campus,1964,Main Area,1964,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Lakewood,Lakewood Elementary School,1964,Main Area,1964,<1973,Unreinforced Masonry Bearing Walls,No
Mercer Island,West Mercer Elementary School,1964,Main Area,1964,<1973,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Mercer Island,West Mercer Elementary School,1964,Main Area,1995,Unknown,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Mercer Island,West Mercer Elementary School,1964,Main Area,1964,<1973,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Mercer Island,West Mercer Elementary School,1964,Main Area,1995,Unknown,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Franklin Pierce,Elmhurst Elementary School,1965,Entry,1965,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Elmhurst Elementary School,1965,Main Area,1965,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Historic Collins (Future GATES High School),1965,Main Area,1965,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Morris E. Ford Middle School,1965,Main Area,1965,<1973,Unreinforced Masonry Bearing Walls,No
Royal,Royal High School,1965,Main Area,1965,<1973,Concrete Frame Buildings with URM Infill Walls,No
Toppenish,Kirkwood Elementary School,1965,Main Area,1965,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Dayton,Dayton High School,1966,Main Area,1966,<1973,Unreinforced Masonry Bearing Walls,No
Dayton,Dayton K-8 School,1966,Main Area,1952,<1973,Unreinforced Masonry Bearing Walls,No
Dayton,Dayton K-8 School,1966,Main Area,1954,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Chinook Middle School,1966,Main Area,1966,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Yakima,Lewis and Clark Middle School,1966,Main Area,1966,<1973,Unreinforced Masonry Bearing Walls,No
Federal Way,Adelaide Elementary School,1967,Main Area,1967,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Perry G Keithley Middle School,1967,Main Area,1967,<1973,Unreinforced Masonry Bearing Walls,No
Seattle,Rainier Beach High School,1967,Unit D - Voc/Tech Bldg ,1967,<1973,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Eastmont,Cascade Elementary School,1968,Main Area,1967,<1973,Unreinforced Masonry Bearing Walls,No
Eastmont,Cascade Elementary School,1968,Main Area,1967,<1973,Unreinforced Masonry Bearing Walls,No
Eastmont,Cascade Elementary School,1968,Main Area,1967,<1973,Unreinforced Masonry Bearing Walls,No
Eastmont,Cascade Elementary School,1968,Main Area,1967,<1973,Unreinforced Masonry Bearing Walls,No
Lakewood,Lakewood Elementary School,1968,Main Area,1968,<1973,Unreinforced Masonry Bearing Walls,No
Tumwater,Tumwater Middle School,1968,Main Area,1967,<1973,Unreinforced Masonry Bearing Walls,No
South Whidbey,South Whidbey Grades 5 & 6 - (Formerly S. Whid. Primary),1969,Main Area,1969,<1973,Steel Frame with Unreinforced Masonry Infill Walls,Yes
North Thurston,Timberline High School,1970,Main Floor,2006,2003-Present,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Lakewood,Lakewood Middle School,1971,1967 lockers,1967,<1973,Unreinforced Masonry Bearing Walls,No
Coupeville,Coupeville Elementary School,1974,Area 1 - Original Classroom Building,1962,<1973,Unreinforced Masonry Bearing Walls,No
Coupeville,Coupeville Elementary School,1974,Area 2 - Classroom and Library Addition ,1968,<1973,Unreinforced Masonry Bearing Walls,No
Port Angeles,Port Angeles High School,1978,Main Area,1978,Unknown,Unreinforced Masonry Bearing Walls,No
Port Angeles,Port Angeles High School,1978,Main Area,1978,Unknown,Unreinforced Masonry Bearing Walls,No
North Thurston,Meadows Elementary School,1986,Covered Play Shed,1986,Unknown,Steel Frame with Unreinforced Masonry Infill Walls,No
Seattle,Leschi Elementary School,1988,Unit A - Main Building ,1960,<1973,Unreinforced Masonry Bearing Walls,Yes
Highline,Tyee Campus,1989,Main Area,1962,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Shoreline,Brookside Elementary,1990,Covered Play Area,1994,Unknown,Steel Frame with Unreinforced Masonry Infill Walls,No
Shoreline,Brookside Elementary,1990,Main Area,1994,Unknown,Steel Frame with Unreinforced Masonry Infill Walls,No
Eastmont,Cascade Elementary School,1994,Main Area,1967,1988-1991,Unreinforced Masonry Bearing Walls,No
Tacoma,Truman Middle School,1999,Main Area,1999,1997,Steel Frame with Unreinforced Masonry Infill Walls,No
Franklin Pierce,Elmhurst Elementary School,2002,Main Area - 7,1965,<1973,Unreinforced Masonry Bearing Walls,No
North Thurston,Chinook Middle School,2008,Covered Play,2008,2003-Present,Unreinforced Masonry Bearing Walls,No
Richland,Richland High School,2008,Main Area,2008,2003-Present,Steel Frame with Unreinforced Masonry Infill Walls,No
Shoreline,Shorecrest High School,2013,Main Area,2013,2003-Present,Steel Frame with Unreinforced Masonry Infill Walls,No
Shoreline,Shorecrest High School,2014,Second Floor Classrm,2014,2003-Present,Steel Frame with Unreinforced Masonry Infill Walls,No
